,report_number,crash_year,crash_date_time,first_harmful_event,total_number_of_vehicles,total_number_of_persons,latitude,longitude,on_street_road_highway,street_address_number,from_intersection_of,geometry
33681,89297594,2019,2019-06-27 17:20,18.0,2,3,30.465342,-84.34385,W THARPE ST,,N MISSION RD,POINT (-84.34385 30.465342)
33682,89297600,2019,2019-06-22 21:10,18.0,2,4,30.375555,-84.242551,CAPITAL CIR SE,,MARY LEE ALLEN RD,POINT (-84.24255100000001 30.375555)
33683,89297592,2019,2019-05-15 09:43,18.0,2,2,30.46276,-84.288396,W THARPE ST,401,,POINT (-84.28839600000001 30.46276)
33684,89146319,2019,2019-12-03 18:21,18.0,1,1,30.43799,-84.308377,BELLE VUE WAY,,RIVOLI RD,POINT (-84.30837699999999 30.43799)
33685,89298235,2019,2019-10-21 09:25,18.0,2,2,30.56091,-84.217712,THOMASVILLE RD,,BRADFORDVILLE RD,POINT (-84.21771200000001 30.56091)
33686,89298096,2019,2019-09-29 17:25,18.0,1,2,30.521772,-84.364811,CAPITAL CIR NW,,WOODLANE CIR,POINT (-84.364811 30.521772)
33687,87249925,2019,2019-02-21 16:00,18.0,1,1,30.50174,-84.25136,INTERSTATE 10,,MILE MARKER 203 WB,POINT (-84.25136000000001 30.50174)
33688,89298639,2019,2019-12-31 13:30,18.0,2,3,30.558618,-84.21947,THOMASVILLE RD,,VELDA WOODS DR,POINT (-84.21947 30.558618)
33689,89298404,2019,2019-11-18 05:04,18.0,2,1,30.598766,-84.040527,VETERANS MEMORIAL DR,,GRISTMILL CREEK RD,POINT (-84.040527 30.598766)
33690,87249929,2019,2019-03-15 20:24,18.0,2,3,30.4846891528615,-84.3011842460654,INTERSTATE 10 WESTBOUND,,MILE MARKER 200,POINT (-84.3011842460654 30.4846891528615)
33691,89297770,2019,2019-08-01 03:55,18.0,1,1,30.4975,-84.329799,WOODSTOCK LN,,SWATTS RD,POINT (-84.32979899999999 30.4975)
33692,89146950,2019,2019-12-30 20:54,18.0,1,2,30.431405,-84.341707,ROBERTS AVE,,CALDWELL DR,POINT (-84.341707 30.431405)
33693,89298370,2019,2019-11-13 08:47,18.0,2,2,30.512298,-84.082916,MAHAN DR,,BAUM RD,POINT (-84.082916 30.512298)
33694,89142952,2019,2019-08-05 20:50,18.0,1,2,30.449203,-84.309322,W TENNESSEE ST,1660,,POINT (-84.30932199999999 30.449203)
33695,89144760,2019,2019-10-07 15:58,18.0,1,1,30.487255,-84.236757,GREER RD,,LONNBLADH RD,POINT (-84.236757 30.487255)
33696,89143969,2019,2019-09-11 18:27,18.0,1,2,30.440981,-84.327711,MABRY ST,,W PENSACOLA ST,POINT (-84.32771099999999 30.440981)
33697,88109720,2019,2019-09-06 22:00,18.0,1,3,30.54434,-84.37385,NORTH MONROE STREET (STATE ROAD 63),,CARTER TRAIL,POINT (-84.37385 30.54434)
33698,89298267,2019,2019-10-26 10:50,18.0,2,2,30.545109,-84.226609,THOMASVILLE RD,,LENOX MILL RD,POINT (-84.226609 30.545109)
33699,89144204,2019,2019-09-20 08:53,18.0,1,2,30.452274,-84.269774,TERRACE ST,,MICCOSUKEE RD,POINT (-84.269774 30.452274)
33702,87844065,2019,2019-01-31 05:15,18.0,2,1,30.44358,-84.231894,W WHETHERBINE WAY,128,,POINT (-84.231894 30.44358)
33703,89144166,2019,2019-09-17 16:18,18.0,2,1,30.452214,-84.293911,DEWEY ST,1019,,POINT (-84.29391099999999 30.452214)
33705,89297830,2019,2019-08-12 06:15,18.0,1,1,30.641751,-84.282111,N MERIDIAN RD,,GINNY LN,POINT (-84.282111 30.641751)
33706,89297831,2019,2019-08-12 06:15,18.0,1,1,30.641709,-84.28212,N MERIDIAN RD,,GINNY LN,POINT (-84.28212000000001 30.641709)
33707,88111363,2019,2019-05-23 14:50,18.0,2,2,30.53999,-84.37071,US 27 (STATE ROAD 63),,CARTER TRAIL,POINT (-84.37071 30.53999)
33709,89142441,2019,2019-07-13 04:24,18.0,1,1,30.476064,-84.236276,CAPITAL CIR NE,1916,,POINT (-84.236276 30.476064)
33710,89143228,2019,2019-08-16 13:00,18.0,1,2,30.426638,-84.298996,STILL CT,909,,POINT (-84.298996 30.426638)
33713,89297612,2019,2019-05-25 18:34,18.0,2,2,30.463392,-84.217025,MAHAN DR,3631,,POINT (-84.21702500000001 30.463392)
33714,89297639,2019,2019-06-27 11:01,18.0,1,1,30.611423,-84.252642,BULL HEADLEY RD,,MANOR HOUSE DR,POINT (-84.25264199999999 30.611423)
33715,89297605,2019,2019-06-07 10:50,18.0,2,2,30.460557,-84.212125,LAGNIAPPE WAY,4067,,POINT (-84.212125 30.460557)
33716,89297606,2019,2019-06-06 11:55,18.0,2,4,30.463894,-84.228085,CAPITAL CIR NE,,AUTOMOTIVE WAY,POINT (-84.22808499999999 30.463894)
33717,89297633,2019,2019-06-17 17:05,18.0,2,3,30.54811,-84.272644,OX BOTTOM RD,,OX BOTTOM MANOR DR,POINT (-84.272644 30.54811)
33718,89297635,2019,2019-06-02 10:00,18.0,2,1,30.461086,-84.358871,W TENNESSEE ST,4330,,POINT (-84.35887099999999 30.461086)
33719,89146246,2019,2019-11-30 16:58,18.0,2,2,30.436796,-84.252824,APALACHEE PKWY,1500,,POINT (-84.252824 30.436796)
33720,89146256,2019,2019-12-01 21:44,18.0,1,1,30.467508,-84.275668,E BRADFORD RD,,N MERIDIAN RD,POINT (-84.275668 30.467508)
33721,89298151,2019,2019-10-09 08:00,18.0,1,1,30.498606,-84.168731,MICCOSUKEE RD,6500,WELAKA TRL,POINT (-84.16873099999999 30.498606)
33722,89297757,2019,2019-07-29 18:52,18.0,1,4,30.428668,-84.205503,TWIN LAKES CIR,1526,,POINT (-84.20550299999999 30.428668)
33723,89298612,2019,2019-12-24 10:25,18.0,1,1,30.517195,-84.369892,AUTUMN WOODS WAY,,DOONESBURY CT,POINT (-84.36989199999999 30.517195)
33726,88258561,2019,2019-12-03 12:56,18.0,1,1,30.5005695054919,-84.2595908834605,INTERSTATE10 MM202,,US 316,POINT (-84.2595908834605 30.5005695054919)
33727,89142438,2019,2019-07-13 04:25,18.0,1,1,30.45639,-84.340991,MISSION RD,2721,,POINT (-84.340991 30.45639)
33728,89144731,2019,2019-10-06 19:19,18.0,1,2,30.46812,-84.232587,MICCOSUKEE COMMONS DR,,MICCOSUKEE RD,POINT (-84.232587 30.46812)
33729,88047564,2019,2019-10-12 20:42,18.0,1,1,30.50174,-84.25136,INTERSTATE 10 EB MM 203,,INTERSTATE 10 EB MM 202,POINT (-84.25136000000001 30.50174)
33730,89146655,2019,2019-12-16 02:00,18.0,1,1,30.412417,-84.302701,W ORANGE AVE,1135,,POINT (-84.302701 30.412417)
33733,88190778,2019,2019-11-18 17:40,18.0,1,1,30.47949,-84.36333,INTERSTATE 10 MM 196 EB,,US 27 NORTH,POINT (-84.36333 30.47949)
33734,87843528,2019,2019-01-10 17:35,18.0,2,1,30.461855,-84.361402,NW CAPITAL CIR,1442,,POINT (-84.361402 30.461855)
33735,89146181,2019,2019-11-26 17:41,18.0,1,0,30.440156,-84.306985,W PENSACOLA ST,,STADIUM DR,POINT (-84.306985 30.440156)
33737,88111400,2019,2019-09-29 16:00,18.0,1,2,30.49755,-84.26714,INTERSTATE 10 (STATE RD 8),,THOMASVILLE RD.,POINT (-84.26714 30.49755)
33738,89143448,2019,2019-08-24 00:42,18.0,2,1,30.464277,-84.281888,MONROE ST,1805,,POINT (-84.281888 30.464277)
33739,89297613,2019,2019-06-21 07:03,18.0,2,3,30.56323,-84.21925,BANNERMAN RD,,THOMASVILLE RD,POINT (-84.21925 30.56323)
33740,89297616,2019,2019-05-22 16:45,18.0,1,1,30.597101,-84.221875,GOLDEN EAGLE DR E,3044,,POINT (-84.221875 30.597101)
33741,89769295,2019,2019-12-16 08:17,18.0,1,2,30.423565,-84.325234,E PAUL DIRAC DR,,W PAUL DIRAC DR,POINT (-84.32523399999999 30.423565)
33742,89298356,2019,2019-11-10 16:48,18.0,1,3,30.5318,-84.36203,CAPITAL CIR NW,,N MONROE ST,POINT (-84.36203 30.5318)
33743,89297855,2019,2019-08-17 15:30,18.0,2,1,30.478363,-84.205019,MEANDERING WAY,4449,,POINT (-84.20501899999999 30.478363)
33744,89143210,2019,2019-08-15 23:10,18.0,1,1,30.466636,-84.318882,FAIRLANE RD,,SUNSET LN,POINT (-84.318882 30.466636)
33745,89298324,2019,2019-11-04 13:17,18.0,1,1,30.570779,-84.276339,N MERIDIAN RD,,SUMMERBROOKE DR,POINT (-84.27633899999999 30.570779)
33746,88135080,2019,2019-11-27 21:11,18.0,1,4,30.3322,-84.47317,STATE 267 SOUTH (BLOXHAM CUTOFF),,NATIONAL FOREST 383,POINT (-84.47317 30.3322)
33747,89298245,2019,2019-10-22 12:30,18.0,2,2,30.502636,-84.248423,CAPITAL CIR NE,,I-10,POINT (-84.248423 30.502636)
33748,88074517,2019,2019-11-08 08:12,18.0,1,1,30.47949,-84.36333,INTERSTATE 10 WESTBOUND MM 196,,STATE ROAD 263,POINT (-84.36333 30.47949)
33749,89298524,2019,2019-12-11 07:15,18.0,2,3,30.583244,-84.244508,BANNERMAN RD,,SABLE CHASE DR,POINT (-84.244508 30.583244)
33750,88216110,2020,2020-09-16 14:45,18.0,1,3,30.48733,-84.15213,UNITED STATES HIGHWAY 90 (STATE ROAD 10),,APEX DRIVE,POINT (-84.15213 30.48733)
33751,82076324,2020,2020-01-21 15:30,18.0,1,1,30.3757079224838,-84.2431348660188,5080 CAPITAL CIR SE,,TRAM RD.,POINT (-84.24313486601881 30.3757079224838)
33752,89148581,2020,2020-03-04 17:42,18.0,2,1,30.44535,-84.30809,OTIS ST,,CONRADI ST,POINT (-84.30809000000001 30.44535)
33753,88294826,2020,2020-02-25 19:45,18.0,1,2,30.4824832839088,-84.3767622839211,INTERSTATE 10 (SR-8) WB MM 196,,STATE ROAD 261 (CAPITAL CIRCLE NW),POINT (-84.3767622839211 30.4824832839088)
33754,89148658,2020,2020-03-09 06:59,18.0,1,1,30.474233,-84.289196,MONROE ST N,2415,,POINT (-84.289196 30.474233)
33755,90109530,2020,2020-06-28 00:30,18.0,1,1,30.412838,-84.264063,E ORANGE AVE,,JIM LEE RD,POINT (-84.26406299999999 30.412838)
33756,89147514,2020,2020-01-25 13:15,18.0,1,1,30.411744,-84.282381,S ADAMS ST,2809,,POINT (-84.282381 30.411744)
33757,89149253,2020,2020-05-05 13:24,18.0,1,1,30.480255,-84.302212,N MONROE ST,2751,,POINT (-84.302212 30.480255)
33758,89147706,2020,2020-02-03 16:30,18.0,2,1,30.440592,-84.283053,S DUVAL ST,,W COLLEGE AVE,POINT (-84.283053 30.440592)
33759,90110606,2020,2020-08-31 09:14,18.0,1,1,30.424166,-84.29291,PERRY ST,,NASSAU ST,POINT (-84.29291000000001 30.424166)
33760,90110611,2020,2020-08-31 10:54,18.0,1,1,30.513269,-84.240245,TALLAHASSEE DR,,ALTOONA DR,POINT (-84.240245 30.513269)
33761,89147908,2020,2020-02-10 13:25,18.0,1,1,30.435494,-84.287931,W GAINES ST,,S MACOMB ST,POINT (-84.287931 30.435494)
33762,89149611,2020,2020-06-05 10:45,18.0,1,2,30.457105,-84.301259,CLAY ST,,ALABAMA ST,POINT (-84.301259 30.457105)
33763,89149281,2020,2020-05-07 09:44,18.0,1,1,30.415888,-84.263914,JIM LEE RD,,ELEANOR DR,POINT (-84.263914 30.415888)
33764,89299146,2020,2020-04-03 16:01,18.0,1,0,30.476944,-84.182963,CHAMPAGNE DR,,MAHAN DR,POINT (-84.182963 30.476944)
33765,90110666,2020,2020-09-02 17:00,18.0,2,2,30.447827,-84.262095,E TENNESSEE ST,,N MAGNOLIA DR,POINT (-84.262095 30.447827)
33766,89299424,2020,2020-08-03 18:22,18.0,1,2,30.427151,-84.2376,APALACHEE PKWY,2525,,POINT (-84.2376 30.427151)
33767,89299504,2020,2020-08-28 01:09,18.0,1,1,30.378434,-84.268917,GREENLEAF DR,723,,POINT (-84.268917 30.378434)
33768,89148469,2020,2020-01-31 17:00,18.0,1,1,30.44584,-84.277072,N MERIDIAN ST,325,E VIRGINIA ST,POINT (-84.277072 30.44584)
33769,89299553,2020,2020-09-07 16:41,18.0,1,1,30.482262,-84.295239,SHARER RD,2904,,POINT (-84.295239 30.482262)
33770,89299182,2020,2020-05-20 06:25,18.0,1,1,30.411681,-84.159261,WILLIAMS RD,,SWAIN TRCE,POINT (-84.159261 30.411681)
33771,90109687,2020,2020-07-07 18:30,18.0,1,1,30.450082,-84.25077,N BLAIR STONE RD,,MAHAN DR,POINT (-84.25077 30.450082)
33772,90109688,2020,2020-07-07 20:41,18.0,1,3,30.434674,-84.30043,W GAINES ST,1105,,POINT (-84.30043000000001 30.434674)
33773,89149150,2020,2020-04-24 12:55,18.0,1,2,30.450746,-84.280925,N MONROE ST,808,,POINT (-84.280925 30.450746)
33774,88195440,2020,2020-11-23 18:45,18.0,1,2,30.4786074558645,-84.3560687541243,INTERSTATE-10 (STATE ROAD-8) MM196 WB,,STATE ROAD-263,POINT (-84.35606875412429 30.4786074558645)
33775,89298845,2020,2020-02-09 03:00,18.0,2,4,30.433849,-84.516697,LITTLE JOHN RD,,SR-20,POINT (-84.51669699999999 30.433849)
33776,90110674,2020,2020-09-03 12:05,18.0,1,1,30.437702,-84.290698,S COPELAND ST,,W SAINT AUGUSTINE ST,POINT (-84.29069800000001 30.437702)
33777,89299599,2020,2020-09-16 18:00,18.0,1,1,30.587985,-84.241191,DEER LK W,,WOOD DUCK WAY,POINT (-84.241191 30.587985)
33778,89149725,2020,2020-06-12 05:20,18.0,1,1,30.435883,-84.280761,E GAINES ST,176,,POINT (-84.280761 30.435883)
33779,90109726,2020,2020-07-10 09:00,18.0,1,0,30.428316,-84.214549,APALACHEE PKWY,3530,,POINT (-84.21454900000001 30.428316)
33780,88276802,2020,2020-05-08 15:10,18.0,1,1,30.4811359383362,-84.3156286661391,INTERSTATE 10 (STATE ROAD 8),,OLD BAINBRIDGE ROAD,POINT (-84.31562866613911 30.4811359383362)
33781,90109422,2020,2020-06-20 21:30,18.0,1,1,30.456472,-84.308496,ALABAMA ST,1502,,POINT (-84.30849600000001 30.456472)
33782,90110359,2020,2020-08-18 13:17,18.0,1,1,30.481687,-84.291674,FULTON RD,728,,POINT (-84.291674 30.481687)
33783,89299869,2020,2020-11-27 21:50,18.0,1,1,30.503337,-84.322888,CROWDER RD,,BENTON HAMPTON CT,POINT (-84.32288800000001 30.503337)
33784,89299627,2020,2020-09-18 04:15,18.0,1,2,30.412706,-84.181782,OLD SAINT AUGUSTINE RD,,APRIL RD,POINT (-84.181782 30.412706)
33785,90112381,2020,2020-11-30 02:32,18.0,1,1,30.425607,-84.245147,OLD SAINT AUGUSTINE RD,,N PAUL RUSSELL RD,POINT (-84.245147 30.425607)
33786,89299765,2020,2020-11-01 13:17,18.0,1,2,30.381907,-84.289788,CRAWFORDVILLE RD,,ROSS RD,POINT (-84.289788 30.381907)
33787,90112297,2020,2020-11-24 12:00,18.0,1,1,30.47199,-84.291309,N MONROE ST,,MONTICELLO DR,POINT (-84.291309 30.47199)
33788,90109933,2020,2020-07-23 06:05,18.0,1,1,30.441978,-84.230324,E PARK AVE,,BOARDWALK LN,POINT (-84.230324 30.441978)
33789,90112018,2020,2020-11-09 12:45,18.0,2,2,30.47188,-84.277277,N MERIDIAN RD,,LOCKE ST,POINT (-84.277277 30.47188)
33790,89147343,2020,2020-01-17 08:22,18.0,1,1,30.447938,-84.308222,W CALL ST,1600,,POINT (-84.308222 30.447938)
33791,89148994,2020,2020-04-01 09:10,18.0,1,2,30.434418,-84.302099,JACKSON BLUFF RD,,LAKE BRADFORD RD,POINT (-84.302099 30.434418)
33792,89147486,2020,2020-01-24 07:17,18.0,1,1,30.492336,-84.254663,THOMASVILLE RD,,OVEN PARK DR,POINT (-84.25466299999999 30.492336)
33793,89299149,2020,2020-05-04 21:15,18.0,1,1,30.511211,-84.142738,MICCOSUKEE RD,,ARGYLE LN,POINT (-84.14273799999999 30.511211)
33794,89299150,2020,2020-05-04 21:15,18.0,1,1,30.510581,-84.144111,MICCOSUKEE RD,,ARGYLE LN,POINT (-84.144111 30.510581)
33795,88258625,2020,2020-11-11 14:55,18.0,1,1,30.483669199095,-84.1576555879406,I-10 EXIT 209B,,US-90,POINT (-84.1576555879406 30.483669199095)
33796,89299716,2020,2020-10-20 03:05,18.0,2,1,30.392612,-84.629723,LANIER ST,,LAKE TALQUIN DR,POINT (-84.629723 30.392612)
33797,89299562,2020,2020-09-09 15:30,18.0,1,2,30.324802,-84.320654,OAK RIDGE RD W,,BLACKJACK RD,POINT (-84.320654 30.324802)
33798,89298692,2020,2020-01-09 09:30,18.0,2,1,30.463144,-84.22887,AUSTIN DAVIS AVE,3470,,POINT (-84.22887 30.463144)
33799,89298694,2020,2020-01-09 13:10,18.0,2,1,30.517536,-84.350391,CLARA KEE BLVD,2700,,POINT (-84.350391 30.517536)
33800,89298659,2020,2020-01-04 11:43,18.0,2,3,30.500005,-84.247553,CAPITAL CIR NE,,RAYMOND DIEHL RD,POINT (-84.247553 30.500005)
33801,88258570,2020,2020-02-06 10:12,18.0,1,1,30.4096224251686,-84.1377615952607,3672 LOUVINIA DR,,OLD ST AUGUSTINE RD,POINT (-84.1377615952607 30.4096224251686)
33802,88243685,2020,2020-09-03 17:45,18.0,2,4,30.49212,-84.24306,US 319,,REMINGTON GREEN CIRCLE,POINT (-84.24306 30.49212)
33803,89299663,2020,2020-10-04 15:18,18.0,1,2,30.406742,-84.328268,CATHEDRAL DR,2775,S LAKE BRADFORD RD,POINT (-84.32826799999999 30.406742)
33804,88195410,2020,2020-04-14 04:14,18.0,1,1,30.4851177218574,-84.1583905575972,INTERSTATE- 10( STATE ROAD-8),,UNITIED STATES-90 ( STATE ROAD- 10),POINT (-84.1583905575972 30.4851177218574)
33805,89147370,2020,2020-01-18 17:56,18.0,1,3,30.438181,-84.280575,APALACHEE PKWY,,S MONROE ST,POINT (-84.280575 30.438181)
33806,89299300,2020,2020-06-27 08:30,18.0,1,1,30.380737,-84.268899,FLAGG ST,720,,POINT (-84.268899 30.380737)
33807,90110262,2020,2020-08-13 18:05,18.0,1,1,30.462391,-84.244047,MICCOSUKEE RD,2426,,POINT (-84.24404699999999 30.462391)
33808,90111441,2020,2020-10-12 19:44,18.0,1,2,30.41049,-84.24091,ORANGE AVE,2229,,POINT (-84.24091 30.41049)
33809,89148023,2020,2020-02-13 21:44,18.0,1,2,30.447607,-84.318448,W TENNESSEE ST,,OCALA RD,POINT (-84.318448 30.447607)
33810,90112472,2020,2020-12-04 19:00,18.0,2,1,30.435012,-84.291386,GAINES ST W,,,POINT (-84.291386 30.435012)
33811,89147629,2020,2020-01-29 10:02,18.0,1,1,30.458857,-84.260714,SURGEONS DR,1221,,POINT (-84.26071399999999 30.458857)
33812,88276797,2020,2020-02-23 15:30,18.0,2,2,30.4779588657809,-84.0748159395233,INTERSTATE 10,,STATE ROAD 59,POINT (-84.0748159395233 30.4779588657809)
33813,89299050,2020,2020-03-18 18:18,18.0,2,3,30.492627,-84.32371,N MONROE ST,3497,,POINT (-84.32371000000001 30.492627)
33814,88276803,2020,2020-05-18 06:45,18.0,1,2,30.4808608256358,-84.3673134087988,INTERSTATE 10 (196 WB ENTRANCE),,STATE ROAD 263,POINT (-84.36731340879879 30.4808608256358)
33815,89148925,2020,2020-03-24 22:04,18.0,1,1,30.412061,-84.309602,LAKE MARY ST,,W LAKE BRADFORD RD,POINT (-84.309602 30.412061)
33816,89147700,2020,2020-02-02 18:36,18.0,1,3,30.467716,-84.265852,TRESCOTT DR,,BETTON RD,POINT (-84.265852 30.467716)
33817,89147642,2020,2020-01-31 07:40,18.0,1,1,30.454604,-84.264213,DOCTORS DR,,MICCOSUKEE RD,POINT (-84.264213 30.454604)
33818,89149286,2020,2020-05-07 16:55,18.0,2,1,30.477474,-84.323981,NUGGET LN,,PORTLAND AVE,POINT (-84.323981 30.477474)
33819,90112699,2020,2020-12-16 23:13,18.0,1,1,30.500272,-84.250555,RAYMOND DIEHL RD,1585,,POINT (-84.25055500000001 30.500272)
33820,89299603,2020,2020-09-18 14:10,18.0,1,1,30.32221,-84.397909,SPRINGHILL RD,,CLINTON HUDSON SR LN,POINT (-84.397909 30.32221)
33821,89299820,2020,2020-11-17 12:20,18.0,1,1,30.554627,-84.162534,PISGAH CHURCH RD,6631,CENTERVILLE RD,POINT (-84.16253399999999 30.554627)
33822,89299118,2020,2020-04-16 20:55,18.0,1,2,30.472542,-84.406307,W TENNESSEE ST,,GEDDIE RD,POINT (-84.406307 30.472542)
33823,89299105,2020,2020-04-13 05:34,18.0,1,1,30.480089,-84.259753,RABBIT HILLS RD,,THOMASVILLE RD,POINT (-84.259753 30.480089)
33824,89299367,2020,2020-07-21 19:32,18.0,2,2,30.56085,-84.217648,THOMASVILLE RD,,BRADFORDVILLE RD,POINT (-84.217648 30.56085)
33825,90110930,2020,2020-09-16 08:01,18.0,1,1,30.507939,-84.226959,RAYMOND DIEHL RD,,OHARA DR,POINT (-84.22695899999999 30.507939)
33826,89298837,2020,2020-02-07 05:10,18.0,1,1,30.669245,-84.279802,HIGH HILL CIR,,FAIRBANKS FERRY RD,POINT (-84.279802 30.669245)
33827,88050371,2020,2020-08-18 17:00,18.0,1,1,30.4303080797492,-84.3528248592349,STATE ROAD 263,,STATE ROAD 20,POINT (-84.3528248592349 30.4303080797492)
33828,89299167,2020,2020-05-11 00:33,18.0,1,1,30.492211,-84.361557,CAPITAL CIR NW,,DON HUNTER DR,POINT (-84.361557 30.492211)
33829,88243671,2020,2020-05-19 11:26,18.0,1,2,30.41935,-84.14009,US HIGHWAY 27,,WILLIAMS ROAD,POINT (-84.14009 30.41935)
33830,89149047,2020,2020-04-10 11:57,18.0,1,1,30.463783,-84.275456,MERIDIAN RD N,1803,,POINT (-84.27545600000001 30.463783)
33831,88278985,2020,2020-11-17 20:24,18.0,1,1,30.49811,-84.20139,I-10 E,,MM 206,POINT (-84.20139 30.49811)
33832,89298639,2019,2019-12-31 13:30,18.0,2,3,30.558618,-84.21947,THOMASVILLE RD,,VELDA WOODS DR,POINT (-84.21947 30.558618)
33833,89298634,2019,2019-12-29 20:00,18.0,2,1,30.461695,-84.21729,LAGNIAPPE WAY,4021,,POINT (-84.21729000000001 30.461695)
33834,89146950,2019,2019-12-30 20:54,18.0,1,2,30.431405,-84.341707,ROBERTS AVE,,CALDWELL DR,POINT (-84.341707 30.431405)
33835,90110789,2020,2020-09-09 14:15,18.0,1,1,30.397233,-84.345007,TERMINAL LOOP RD,,,POINT (-84.345007 30.397233)
33836,90109577,2020,2020-06-30 23:15,18.0,1,4,30.405354,-84.267361,PAUL RUSSELL RD,,BEACON ST,POINT (-84.26736099999999 30.405354)
33837,88349804,2020,2020-12-13 00:15,18.0,1,1,30.4131848487337,-84.0792110256214,US 27,,CAP TRAM RD,POINT (-84.0792110256214 30.4131848487337)
33838,90110830,2020,2020-09-09 15:08,18.0,1,1,30.448232,-84.329214,W TENNESSEE ST,2525,,POINT (-84.32921399999999 30.448232)
33839,90111408,2020,2020-10-11 06:58,18.0,1,2,30.441372,-84.240021,CLAREMONT LN,,HOLYOKE CT,POINT (-84.240021 30.441372)
33840,88294843,2020,2020-08-01 12:50,18.0,1,1,30.4903510408475,-84.2858842546816,INTERSTATE 10 (STATE ROAD 8)WB 200MM,,SHARER ROAD OVERPASS,POINT (-84.2858842546816 30.4903510408475)
33841,90110507,2020,2020-08-25 19:48,18.0,1,1,30.426719,-84.302119,LAKE BRADFORD RD,,STUCKEY AVE,POINT (-84.302119 30.426719)
33842,88260926,2020,2020-10-09 02:20,18.0,1,0,30.32468,-84.31148,OAK RIDGE ROAD (COUNTY ROAD 2204),,WOODPECKER LANE,POINT (-84.31148 30.32468)
33843,89298703,2020,2020-01-11 04:30,18.0,2,1,30.473211,-84.363298,NW CAPITAL CIR,1670,,POINT (-84.363298 30.473211)
33844,90111257,2020,2020-10-03 13:30,18.0,1,1,30.41925,-84.35045,W ORANGE AVE,,CAPITAL CIR SW,POINT (-84.35045 30.41925)
33845,90110252,2020,2020-08-13 00:42,18.0,2,1,30.422388,-84.301593,KISSIMMEE ST,,LEVY AVE,POINT (-84.301593 30.422388)
33846,89298722,2020,2020-01-14 07:15,18.0,2,6,30.559036,-84.181284,BRADFORDVILLE RD,,PISGAH CHURCH RD,POINT (-84.18128400000001 30.559036)
33847,89298776,2020,2020-01-25 01:21,18.0,1,1,30.43885,-84.472784,SR-20,,LAKE MCCOLLUM CT,POINT (-84.472784 30.43885)
33848,88301145,2020,2020-10-19 20:08,18.0,1,1,30.4781,-84.12464,INTERSTATE 10 EB MILE MARKER 211,,UNITED STATE HIGHWAY 90,POINT (-84.12464 30.4781)
33849,89299801,2020,2020-11-11 17:35,18.0,1,2,30.303933,-84.221321,NATURAL BRIDGE RD,,COGGINSWOOD RD,POINT (-84.221321 30.303933)
33850,88258617,2020,2020-10-11 08:26,18.0,1,2,30.3733205539354,-84.2691912855545,SR/-363 (4768 WOODVILLE HWY),,THE LAKES AT SAN MARCOS APARTMENTS,POINT (-84.2691912855545 30.3733205539354)
33851,90109987,2020,2020-07-27 04:32,18.0,2,1,30.437704,-84.207936,OLD PLANTATION LOOP,,OLD PLANTATION RD,POINT (-84.207936 30.437704)
33852,90110343,2020,2020-08-18 08:22,18.0,1,1,30.432493,-84.328164,MABRY ST,,JACKSON BLUFF RD,POINT (-84.328164 30.432493)
33853,90111925,2020,2020-11-04 10:20,18.0,1,1,30.41194,-84.285255,S ADAMS ST,2800,,POINT (-84.28525500000001 30.41194)
33854,87843198,2018,2018-12-27 08:40,18.0,1,1,30.395768,-84.345497,UNNAMED RD,,,POINT (-84.34549699999999 30.395768)
33855,89298731,2020,2020-01-15 18:45,18.0,1,1,30.473907,-84.05792,CAPITOLA RD,12996,,POINT (-84.05792 30.473907)
33856,89299766,2020,2020-11-01 15:30,18.0,2,4,30.442575,-84.411465,BIG BEND SCENIC BYWY,8025,,POINT (-84.41146500000001 30.442575)
33857,89298761,2020,2020-01-22 14:33,18.0,2,3,30.438728,-84.278529,E PENSACOLA ST,,S GADSDEN ST,POINT (-84.27852900000001 30.438728)
33858,89769365,2020,2020-03-30 05:47,18.0,1,1,30.438362,-84.300733,VARSITY DR,,PENSACOLA ST,POINT (-84.30073299999999 30.438362)
33859,90112192,2020,2020-11-19 08:22,18.0,1,1,30.39726,-84.297597,RIDGE RD,847,,POINT (-84.297597 30.39726)
33860,89299831,2020,2020-11-19 13:40,18.0,1,1,30.340036,-84.254594,WOODVILLE HWY,,OLD WOODVILLE RD,POINT (-84.254594 30.340036)
33861,89299906,2020,2020-12-11 21:26,18.0,1,1,30.463235,-84.393336,IDA RD,,W TENNESSEE ST,POINT (-84.39333600000001 30.463235)
33862,90109641,2020,2020-07-05 20:34,18.0,1,3,30.479225,-84.300709,N MONROE ST,2721,,POINT (-84.300709 30.479225)
33863,88258616,2020,2020-10-09 15:14,18.0,1,3,30.4913,-84.28225,I-10 MM201 WB,,US-27,POINT (-84.28225 30.4913)
33864,89299098,2020,2020-04-07 00:05,18.0,1,2,30.495953,-84.352247,FGA 625732R,,,POINT (-84.35224700000001 30.495953)
33865,89148954,2020,2020-03-27 13:25,18.0,1,2,30.453124,-84.246995,MAHAN DR,,TY TY RD,POINT (-84.246995 30.453124)
33866,90109525,2020,2020-06-27 19:58,18.0,1,1,30.420939,-84.227948,SE CAPITAL CIR,1837,,POINT (-84.227948 30.420939)
